2024-03-10 00:08:46.190  INFO 4264 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] (system) o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2024-03-10 00:08:46.958  INFO 4264 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] (system) o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2024-03-10 00:08:47.118  INFO 4264 --- [SpringApplicationShutdownHook] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-03-10 00:08:47.128  INFO 4264 --- [SpringApplicationShutdownHook] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-03-10 10:42:46.141  INFO 14268 --- [main] (system) com.example.ServerApplication            : Starting ServerApplication using Java 17.0.8 with PID 14268 (C:\Users\yang2\Desktop\monitor\monitor\server\target\classes started by yang2 in C:\Users\yang2\Desktop\monitor\monitor)
2024-03-10 10:42:46.144  INFO 14268 --- [main] (system) com.example.ServerApplication            : The following 1 profile is active: "dev"
2024-03-10 10:42:47.020  INFO 14268 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-03-10 10:42:47.022  INFO 14268 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-03-10 10:42:47.049  INFO 14268 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2024-03-10 10:42:47.825  INFO 14268 --- [main] (system) o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2024-03-10 10:42:47.836  INFO 14268 --- [main] (system) o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-10 10:42:47.836  INFO 14268 --- [main] (system) o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-03-10 10:42:47.922  INFO 14268 --- [main] (system) o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-10 10:42:47.922  INFO 14268 --- [main] (system) w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1736 ms
2024-03-10 10:42:48.862  INFO 14268 --- [main] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-03-10 10:42:49.154  INFO 14268 --- [main] (system) com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6fdb1a59
2024-03-10 10:42:49.155  INFO 14268 --- [main] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-03-10 10:42:49.727  INFO 14268 --- [main] (system) o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ee19768, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8113ea7, org.springframework.security.web.context.SecurityContextHolderFilter@42db3ff, org.springframework.security.web.header.HeaderWriterFilter@18139a43, org.springframework.security.web.authentication.logout.LogoutFilter@6a358906, com.example.filter.JwtAuthenticationFilter@5a9baba8, com.example.filter.RequestLogFilter@3ec211cc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@34114276, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@519e67e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@200e6029, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c879f07, org.springframework.security.web.session.SessionManagementFilter@3dbb7bb, org.springframework.security.web.access.ExceptionTranslationFilter@23dda7a3, org.springframework.security.web.access.intercept.AuthorizationFilter@4b37d1a4]
2024-03-10 10:42:50.019  WARN 14268 --- [main] (system) ocalVariableTableParameterNameDiscoverer : Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: org.springframework.amqp.rabbit.core.RabbitAdmin
2024-03-10 10:42:50.068  INFO 14268 --- [main] (system) o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2024-03-10 10:42:50.072  INFO 14268 --- [main] (system) o.s.a.r.c.CachingConnectionFactory       : Attempting to connect to: [localhost:5672]
2024-03-10 10:42:50.122  INFO 14268 --- [main] (system) o.s.a.r.c.CachingConnectionFactory       : Created new connection: rabbitConnectionFactory#4fea095b:0/SimpleConnection@456c53a [delegate=amqp://admin@127.0.0.1:5672/, localPort=8143]
2024-03-10 10:42:50.161  INFO 14268 --- [main] (system) com.example.ServerApplication            : Started ServerApplication in 4.736 seconds (process running for 5.565)
2024-03-10 10:46:57.815  INFO 14268 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] (system) o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2024-03-10 10:46:58.397  INFO 14268 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] (system) o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2024-03-10 10:46:58.418  INFO 14268 --- [SpringApplicationShutdownHook] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-03-10 10:46:58.425  INFO 14268 --- [SpringApplicationShutdownHook] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-03-10 10:47:03.595  INFO 17744 --- [main] (system) com.example.ServerApplication            : Starting ServerApplication using Java 17.0.8 with PID 17744 (C:\Users\yang2\Desktop\monitor\monitor\server\target\classes started by yang2 in C:\Users\yang2\Desktop\monitor\monitor)
2024-03-10 10:47:03.597  INFO 17744 --- [main] (system) com.example.ServerApplication            : The following 1 profile is active: "dev"
2024-03-10 10:47:04.238  INFO 17744 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-03-10 10:47:04.240  INFO 17744 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-03-10 10:47:04.260  INFO 17744 --- [main] (system) .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2024-03-10 10:47:04.830  INFO 17744 --- [main] (system) o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2024-03-10 10:47:04.838  INFO 17744 --- [main] (system) o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-10 10:47:04.838  INFO 17744 --- [main] (system) o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-03-10 10:47:04.910  INFO 17744 --- [main] (system) o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-10 10:47:04.911  INFO 17744 --- [main] (system) w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1286 ms
2024-03-10 10:47:05.784  INFO 17744 --- [main] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-03-10 10:47:05.952  INFO 17744 --- [main] (system) com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@44e4cf8a
2024-03-10 10:47:05.953  INFO 17744 --- [main] (system) com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
